ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr,Lr,Wr,Dl,Hs,Ws,DBH,Vr,Vs,Drel,Lrel,Y_Xshoot,Y_Xroot,S_Ry,S_Rx,Biome,Eco_Name,Realm,Eco_ID,Vegetation,Location,Lat,Long,Spatial_buffer,Elevation,Soil_description,USDA_soil_texture,EU_soil_texture,Water_Table_Depth_Fan,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,MAP,MAE,Ai,Sa,Msur,Mdef,Psur,Pdef,Rclass,Rregime,Aclass
1008,Higgins et al. 1987:1,Erica plukenettii,,Ericaceae,Semi-shrub,P,Woody,Dicot,E,needle-leaf,C3,0.32,1.09,NA,NA,0.84,0.38,NA,0.8,0.06351,5.038541926,17.16253344,2.21,0.15,2.63,0.17,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1009,Higgins et al. 1987:Table 3,Erica plukenettii,,Ericaceae,Semi-shrub,P,Woody,Dicot,E,needle-leaf,C3,0.5,0.8,NA,NA,NA,0.36,NA,0.67,NA,NA,NA,NA,0.31,NA,0.23,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1010,Higgins et al. 1987:Table 3,Ischyrolepis gaudichaudiana,Ischryolepis gaudichaudiana,Restionaceae,Grass,P,Herbaceous,Monocot,,,C3,0.1,0.25,NA,NA,NA,0.08,NA,0.01,NA,NA,NA,NA,0.2,NA,0.16,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1011,Higgins et al. 1987:Table 3,Ischyrolepis gaudichaudiana,Ischryolepis gaudichaudiana,Restionaceae,Grass,P,Herbaceous,Monocot,,,C3,0.1,0.25,NA,NA,NA,0.13,NA,0.01,NA,NA,NA,NA,0.2,NA,0.26,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1012,Higgins et al. 1987:Table 3,Ischyrolepis gaudichaudiana,Ischryolepis gaudichaudiana,Restionaceae,Grass,P,Herbaceous,Monocot,,,C3,0.4,0.31,NA,NA,NA,0.21,NA,0.08,NA,NA,NA,NA,0.65,NA,0.34,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1013,Higgins et al. 1987:Table 3,Leucadendron salignum,,Proteaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,3.5,1.07,NA,NA,NA,0.59,NA,8.39,NA,NA,NA,NA,1.64,NA,0.28,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1014,Higgins et al. 1987:Table 3,Otholobium fruticans,,Fabaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,1.5,1.44,NA,NA,NA,0.62,NA,6.51,NA,NA,NA,NA,0.52,NA,0.22,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1015,Higgins et al. 1987:Table 3,Protea neriifolia,,Proteaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,3,0.96,NA,NA,NA,0.56,NA,5.79,NA,NA,NA,NA,1.56,NA,0.29,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1016,Higgins et al. 1987:3,Protea neriifolia,,Proteaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,3.26,1.5,NA,NA,3.55,1.32,NA,15.36,3.23873,1.006567172,0.463144404,2.69,1.09,1.09,0.44,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1017,Higgins et al. 1987:Table 3,Protea repens,,Proteaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,3,0.78,NA,NA,NA,0.44,NA,3.82,NA,NA,NA,NA,1.92,NA,0.28,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
